Recipe,Dark Rum,Light Rum,Gold Rum,Curacao,Lemon Juice,Falernum,Orange Juice,Simple Syrup,Passionfruit Syrup,Lime Juice,Pineapple Juice,Orgeat,Angostura
Calibration,1.85760225,2.1,2.0425,1.9125,1.785,2.1147,1.98,1.9646,2.08,2.26765,2.121,1.745625,
Prime,0.41,0.52,0.44,0.51,0.36,0.46,0.40,0.41,0.38,0.44,0.37,0.34,
Mai Tai,1,,1,0.5,,,0.5,0.25,,1,,0.25,
Tail-less Scorpion,,,,,1.5,,3,,,,1.5,0.75,
Scorpion,,2,,,1.5,,3,,,,1.5,0.75,
Trader Vic Grog,2,,,,1,,,,1,,1,,0.1
Pieces of Eight,,1.5,,,1.5,,,,1.5,0.5,,,
Hurricane,4,,,,2,,,,2,,,,
Outrigger,,,1.5,0.75,0.75,,,,,,,,
Chief Lapu Lapu,1.5,1.5,,,2,,3,1,1,,,,
Hawaiian Eye,,0.5,1,,,0.5,,0.5,,0.5,,,
